work_hours,hourly_wage
25,4
16,0
20,5.625
20,15
17.5,8.57
20,11.75
40,8.33
40,9.33
22.5,4.44
30,4
45,2.22
80,0.83
37.5,1.67
40,7.88
50,0
20,10
40,2.5
50,6
35,4.07
15,5
30,0.76
40,5.15
37.5,5.33
40,0.625
30,10
50,0
17.5,4.57
NA,0
25,7.25
NA,11
40,0
NA,5
20,0
40,5
50,0
12,10.73
50,9.33
20,14.5
20,13.5
6,0
40,11.88
60,3.33
75,0.89
30,10
20,13.75
20,10.15
40,6.75
20,15
75,1
30,0
40,5.31
25,1.07
27.5,1.82
10,3.75
32.5,7.18
10,11
60,17
15,12
20,10.3
20,4.75
30,3.33
37.5,5.33
19.5,11.77
19.5,2.05
27.5,NA
19.5,12
10,6
15,4.44
7.5,8
35,0
30.00,0
25,0
15,13.69